figure_id	metric_name	value	ci_lower	ci_upper	notes
fig-5b	brain_3rep_precision	88.7	87.4	89.9	TUSCO 3-replicate precision (95% CI)
fig-5b	brain_4rep_sensitivity	83.8	82.0	85.5	TUSCO 4-replicate sensitivity (95% CI)
fig-5b	brain_4rep_precision	89.3	87.5	91.2	TUSCO 4-replicate precision (95% CI)
fig-5b	brain_5rep_sensitivity	84.4	NA	NA	TUSCO 5-replicate sensitivity (95% CI)
fig-5b	brain_5rep_precision	90.0	NA	NA	TUSCO 5-replicate precision (95% CI)
fig-5b	kidney_1rep_sensitivity	71.9	66.4	77.4	TUSCO 1-replicate sensitivity (95% CI)
fig-5b	kidney_1rep_precision	65.2	61.0	69.4	TUSCO 1-replicate precision (95% CI)
fig-5b	kidney_2rep_sensitivity	70.6	67.8	73.5	TUSCO 2-replicate sensitivity (95% CI)
fig-5b	kidney_2rep_precision	81.0	79.2	82.8	TUSCO 2-replicate precision (95% CI)
fig-5b	kidney_3rep_sensitivity	74.7	73.4	76.0	TUSCO 3-replicate sensitivity (95% CI)
fig-5b	kidney_3rep_precision	80.5	79.5	81.5	TUSCO 3-replicate precision (95% CI)
fig-5b	kidney_4rep_sensitivity	76.2	74.1	78.4	TUSCO 4-replicate sensitivity (95% CI)
fig-5b	kidney_4rep_precision	79.7	78.1	81.4	TUSCO 4-replicate precision (95% CI)
fig-5b	kidney_5rep_sensitivity	78.1	NA	NA	TUSCO 5-replicate sensitivity (95% CI)
fig-5b	kidney_5rep_precision	80.6	NA	NA	TUSCO 5-replicate precision (95% CI)
fig-s6	brain_sirv_1rep_sensitivity	86.1	83.7	88.5	SIRV brain 1-replicate sensitivity (95% CI)
fig-s6	brain_sirv_1rep_precision	99.3	98.2	100.5	SIRV brain 1-replicate precision (95% CI)
fig-s6	kidney_sirv_1rep_sensitivity	84.6	81.4	87.9	SIRV kidney 1-replicate sensitivity (95% CI)
fig-s6	kidney_sirv_1rep_precision	99.0	97.9	100.1	SIRV kidney 1-replicate precision (95% CI)
